Query Molecule,Canonicalization,Rank,Pubchem,Patent
Penicillin,RDKit Atom 0,1,https://pubchem.ncbi.nlm.nih.gov/compound/18643908,https://pubchem.ncbi.nlm.nih.gov/patent/US-4996313-A
Penicillin,RDKit Atom 0,2,https://pubchem.ncbi.nlm.nih.gov/compound/70630416,https://pubchem.ncbi.nlm.nih.gov/patent/US-4171304-A
Penicillin,RDKit Atom 0,3,https://pubchem.ncbi.nlm.nih.gov/compound/23616098,n/a
Penicillin,RDKit Atom 0,4,https://pubchem.ncbi.nlm.nih.gov/compound/70367018,n/a
Penicillin,RDKit Atom 0,5,https://pubchem.ncbi.nlm.nih.gov/compound/21500059,https://pubchem.ncbi.nlm.nih.gov/patent/US-4010156-A
Penicillin,RDKit Atom 0,6,https://pubchem.ncbi.nlm.nih.gov/compound/57624296,https://pubchem.ncbi.nlm.nih.gov/patent/US-2009081766-A1
Penicillin,RDKit Atom 0,7,https://pubchem.ncbi.nlm.nih.gov/compound/158211812,n/a
Penicillin,RDKit Atom 0,8,https://pubchem.ncbi.nlm.nih.gov/compound/20389584,https://pubchem.ncbi.nlm.nih.gov/patent/US-4171304-A
Penicillin,RDKit Atom 0,9,https://pubchem.ncbi.nlm.nih.gov/compound/56988098,https://pubchem.ncbi.nlm.nih.gov/patent/US-4461726-A
Penicillin,RDKit Atom 0,10,https://pubchem.ncbi.nlm.nih.gov/compound/102119253,n/a
Penicillin,RDKit Atom 0,11,https://pubchem.ncbi.nlm.nih.gov/compound/13277548,https://pubchem.ncbi.nlm.nih.gov/patent/US-4942229-A
Penicillin,RDKit Atom 0,12,https://pubchem.ncbi.nlm.nih.gov/compound/152766084,https://pubchem.ncbi.nlm.nih.gov/patent/US-3954732-A
Penicillin,RDKit Atom 0,13,https://pubchem.ncbi.nlm.nih.gov/compound/22874634,https://pubchem.ncbi.nlm.nih.gov/patent/US-5656623-A
Penicillin,RDKit Atom 0,14,https://pubchem.ncbi.nlm.nih.gov/compound/4393031,n/a
Penicillin,RDKit Atom 0,15,https://pubchem.ncbi.nlm.nih.gov/compound/56615217,n/a
Penicillin,RDKit Atom 0,16,https://pubchem.ncbi.nlm.nih.gov/compound/11741115,n/a
Penicillin,RDKit Atom 0,17,https://pubchem.ncbi.nlm.nih.gov/compound/26813,n/a
Penicillin,RDKit Atom 0,18,https://pubchem.ncbi.nlm.nih.gov/compound/70547535,https://pubchem.ncbi.nlm.nih.gov/patent/EP-0005889-B1
Penicillin,RDKit Atom 0,19,https://pubchem.ncbi.nlm.nih.gov/compound/14829431,https://pubchem.ncbi.nlm.nih.gov/patent/US-4159272-A
Penicillin,RDKit Atom 0,20,https://pubchem.ncbi.nlm.nih.gov/compound/5046855,n/a
Penicillin,RDKIT Atom n,1,https://pubchem.ncbi.nlm.nih.gov/compound/108789963,n/a
Penicillin,RDKIT Atom n,2,https://pubchem.ncbi.nlm.nih.gov/compound/108788832,n/a
Penicillin,RDKIT Atom n,3,https://pubchem.ncbi.nlm.nih.gov/compound/57624293,https://pubchem.ncbi.nlm.nih.gov/patent/US-2009081766-A1
Penicillin,RDKIT Atom n,4,https://pubchem.ncbi.nlm.nih.gov/compound/108795879,n/a
